,Questions,Answers
162,What is eDirham?,"The eDirham system (electronic smart cards) is a sophisticated method for collecting government revenue, rather than traditional methods (fiscal stamps, receipts, receipt of revenues). eDirham is based on ease and simplicity and relies on the latest technology in the science of computers. (Source: Ministry of Finance)"
163,What is Value Added Tax (VAT)?,Value Added Tax (VAT) was introduced in the UAE on 1 January 2018. The rate of VAT is 5 per cent. VAT will provide the UAE with a new source of income which will be continued to be utilised to provide high-quality public services. It will also help government move towards its vision of reducing dependence on oil and other hydrocarbons as a source of revenue.
164,What is a Certificate of VAT?,It is a certificate issued to companies or individuals for them to lawfully claim exemptions from value added taxes in various countries. (Source: Ministry of Finance)
165,What is a certificate of tax?,A certificate of tax entitles individuals and companies to benefit from the avoidance of double taxation agreements concluded by the UAE. (Source: Ministry of Finance)
166,Does the UAE levy income tax on individuals?,"No, the UAE does not levy income tax on individuals. "
167,Is corporate tax applied in the UAE?,"Currently, the UAE levies corporate tax on oil companies and foreign banks. 
However, on 31 January 2022, the UAE announced that corporate tax (CT) will be imposed on the net profits of businesses from either 1 July 2023 or 1 January 2024, depending on the financial year followed by the business. Find out more details on the scope and rate of CT and businesses and income that are exempted from it."
168,What are the requirements to open a bank account?,"To open a bank account, citizens need to provide a copy of their family book, a salary letter or a letter of NOC (No Objection) from the employer. Expatriate residents need to provide a copy of their passport, a copy of work or residence visa, a copy of their Emirates ID, a salary letter or a letter of NOC (No Objection) from the employer or sponsor. Find out financial institutions in the UAE."
169,What is IBAN?,IBAN is the acronym for ISO 13616 standard compliant International Bank Account Number. IBAN is a unique customer account number which can be used conﬁdently in making or receiving payments (excluding cheques and credit cards) within the country as well as abroad. IBAN is applied because it is an internationally accepted standard for numbering bank customer accounts and it is the ISO standard methodology for verifying the accuracy of the IBAN. (Source: Central Bank of the UAE)
170,Who can create and issue IBAN?,Banks in the UAE having customer accounts which are used for electronic payments are authorised to generate an IBAN. No other party is permitted to generate IBAN for bank customers. (Source: Central Bank of the UAE)
171,Who requires an IBAN?,"Bank customers, who receive or make electronic payments in the UAE or abroad, will require an IBAN. If you have more than one account in your bank, you will require an IBAN for each of your accounts. (Source: Central Bank of the UAE)"
172,Where are the UAE’s customs offices?,"Customs offices are located at the UAE airports, seaports and entry/exit points on the land borders. (Source: UAE Government Portal)"
173,How can the value of goods be defined for calculating customs tariffs?,"The goods' price should be determined according to the real purchasing price paid for the goods. Price includes deal price, shipping cost, insurance and all charges and expenses paid to deliver such goods to the UAE. (Source: Federal Customs Authority)"
174,What are the customs tariffs due for some imported goods?,The imported goods are subject to tariffs with a percentage of customs value at unified customs tariff of the GCC states. Such percentage ranges between total exemption and 100 per cent according to the type of the goods. (Source: Federal Customs Authority)
175,Are foreign commodities bought from local markets of GCC countries subject to customs duties?,No customs duties will be charged for such commodities if they are purchased within full consignments or in parts that had been imported across a first access point in any GCC country after the customs union and are supported by re-export statements sealed by the clearance stamps in the country where such commodities came from. (Source: Federal Customs Authority)
176,What are the conditions and mechanisms for customs duty exemption for Arab products in accordance with FTZ agreements?,Attested certificates of origin in accordance with a defined form are needed. Such certificates should be issued and attested by the competent authority of origin at the Arab country where the goods are produced or manufactured. (Source: Federal Customs Authority)
177,Can I file income tax returns online?,The UAE does not levy income tax.
178,"Can I submit Value Added Tax (VAT), excise tax online?","Yes, you will find information related to paying taxes on the page ‘How to pay VAT and excise tax’?"
179,Where can I see the results of a government procurement/bidding process online?,Suppliers registered with Ministry of Finance can view the results of approved tenders and auctions. Read about it on the page about government tendering and awarding.
180,Where can I see announcements of forthcoming procurement/bidding processes?,You can view announcements of forthcoming procurement/bidding processes on the page about government tendering and awarding.
181,Can I file business tax online?,"Yes, you can. Log in to the eServices portal of Federal Tax Authority. You will be required to sign in. "
182,Does the UAE government accept digital invoicing in the procurement process?,"Yes, in a bid to go paperless, the UAE government accepts digital invoicing  and ePayment in government procurement processes."
183,Where can I find a list of healthcare centers and facilities?,"You can look for medical facilities on the websites of:

Ministry of Health and Prevention
Abu Dhabi Government
Sheikh Khalifa Medical City
Government of Ajman
Dubai Health Experience."
184,Can I access health services through mobile apps or SMS?,"Of course, yes. Ministry of Health and Protection, Dubai Health Authority and Abu Dhabi Department of Health have their own application to provide the online health services. Moreover, health services are provided via SMS. More"
185,Where can I find information about reproductive and sexual health care?,"Yes, under women's reproductive and sexual healthcare, you will find more information about maternity and paediatric care, fertilisation, abortion and other women related health services."
186,Does the UAE government plan consultations which involve people in health issues faced earlier?,"You can find  information about upcoming consultations which involve people in health issues in our consultation page, under planned consultations."
187,Where can I find information of current consultations and results of closed consultations held to take people’s feedback about health issues?,"You can find information of current consultations and results of closed consultations held to take people’s feedback about health issues in our consultation page, under current and closed consultations."
188,Where can I find information on government spending on health?,You can find government expenditure on health on the page about government budget and expenditure.
189,Where can I find a directory of online services related to healthcare in the UAE?,"On this portal, you can find online directories of health-related eServices provided by the respective health authorities in the UAE"
190,What shall I do in case of medical emergency?,Call for the ambulance on 998 from anywhere in the UAE. An air ambulance may be sent for the patient if needed. For more information check the page on medical emergencies.
191,What do I need to access UAE healthcare facilities  services?,You need to present your Emirates ID and/or insurance card.
192,Is insurance mandatory in the UAE?,Insurance is mandatory in the emirates of Abu Dhabi  and Dubai. Insurance policies for other emirates is still underway. Read our page on health insurance and how it applies on nationals and resident expatriates.
193,Where can I find a  registered insurance company?,The website of the Insurance Authority of the UAE provides a list of registered insurance companies.
194,Does the UAE provide smart medical appointment services?,"Yes, the Ministry of Health and Prevention facilitates the smart patient portal where a user can access his/her medical records to view laboratory tests, radiology reports, medicines, vaccinations, and health problems."
195,Which entities are responsible for health sector in the UAE?,"In the UAE, Ministry of Health and Protection is the federal entity, which regulates health affairs. Abu Dhabi and Dubai have their own local regulatory health authorities. More"
196,Where can I find the UAE policies related to health?,The National Agenda emphasises the importance of preventive medicine and seeks to reduce cancer and lifestyle related diseases. Find more information under health policy and laws. 
197,Can I receive updates or subscribe to notifications related to health?,"Yes, you can subscribe to the newsletter or RSS service of the Ministry of Health and Protection. Find more information under health services and updates."
198,Where can I find open datasets on health?,"Being keen to promote the concept of digital knowledge economy, the UAE official Open Data Portal provides enhanced open datasets on health for public use. The portal reflects the government intention to enhance sustainable communities based on participation and transparency. Explore open datasets on health"
199,How can I find information on laws and legislations promoting secure work environment?,"The UAE introduced many advanced legislations to protect workers, most notably the Domestic Labour Law No. 10 of 2017, in addition to a package of decisions regarding approved contracts, changing jobs and terminating contracts. Find out more."
200,How can I find a job in the UAE?,Check our pages Searching for a job which provide tips and useful links on how to land a job in the private and public sectors.
201,"Besides, Government.ae, where else can I find information about employment policies and job opportunities in the UAE?","Besides, U.ae page on jobs and employment, you can find information about employment policies and job opportunities in the websites of the Federal Authority for Government Human Resources (FAHR),  and the Ministry of Human Resources and Emiratisation."
202,"Where can I find information about employment policies, labour market and job opportunities in the UAE?",The UAE Federal Decree Law no. 33 of 2021 Regarding the Regulation of Employment Relationship sets out the provisions and policies related to employment in the private sector. The Federal Authority for Government Human Resources (FAHR) has its own laws and policies which apply to government employees in the federal sector. Each local emirate has its government human resources department which regulates the employment. Employees of a semi-government company may be subject to either the Federal Decree Law No. 33 of 2021 or to the respective human resources law of the local or the federal entity which owns the company. Those working in free zones are generally not governed by the Federal Labour Law. Each free zone authority has its own employment law and employees are subject to the rules and regulations of their respective free zone authority. Find more information related to jobs and employment in the UAE.
203,Where can I subscribe to receive updates on the job market?,You can subscribe to the newsletters of  Ministry of Human Resources & Emiratisation and the monthly magazine of  the Federal Authority for Government Human Resources in addition to other subscription channels mentioned in this page.
204,How does the UAE ensure the rights of migrant workers?,"The UAE provides work to approximately 1 million new immigrants every year. For the vast majority of new residents, the opportunity to come to the UAE makes a dramatic and positive impact on their lives. The UAE has taken significant steps to strengthen workplace protections for immigrant workers. A coherent package of reforms were set in place to create greater flexibility for both employers and employees, to ensure that conditions of work and accommodation are of a high standard, and in particular to establish the domestic labour market as a bone fide labour market segment. Read more how the UAE protects the rights of immigrant workers."
205,Does the UAE government plan consultations which involve people in employment issues faced earlier?,"You can find  information about upcoming consultations which involve people in employment issues in our consultation page, under planned consultations."
206,Where can I find information of current consultations and results of closed consultations held to take people’s feedback about employment issues?,"You can find information of current consultations and results of closed consultations held to take people’s feedback about employment issues in our consultation page, under current and closed consultations."
207,Is there an evidence that people’s voices were included in the decision-making of the past consultations held by UAE government tackling employment issues?,"Yes, you can find results of closed consultations held to take people’s feedback about employment issues in our consultation page. Look for the outcome of closed consultations."
208,How can I improve my skills in artificial intelligence?,The UAE has developed special programmes for developing future skills of its youth on different areas needed for knowledge–based economy and transformation into digital era. Find out more information about future skills for youth and lifelong learning programmes.
209,Where can I find information on government spending on employment?,You can find government expenditure on employment on the page about government budget and expenditure.
210,Where can I find a directory of online services related to jobs and employment in the UAE?,"On this portal, you can find online directories of jobs and employment-related eServices provided by the respective authorities in the UAE."
211,Can I work while I am on a UAE visit or tourist visa?,"No, one cannot work while on a visit or tourist visa. Working without first obtaining the proper employment visa status is illegal and could lead to imprisonment, fines and/or deportation. The penalties apply to both: the employer and the employee.
Read our page 'Preparing to work' for more details."
212,Can free zone employees approach Ministry of Human Resources and Emiratisation for work-related complaints?,"Yes, fee zone employees can approach the Labour office for complaints. The Labour office  will transfer the complaint to the Labour court  for review and final adjudication."
213,Can an employer reject an employee's resignation?,"An employer cannot reject  an employee’s resignation, provided the employee gives due notice and obtains the employer’s signature on his/her resignation letter, or sends the resignation letter through  acknowledged  communication methods such as: fax, email or postal mail etc."
214,Does the employer have the right to refuse granting annual vacation despite completing one year of service?,"The employer may not prevent the worker from benefiting from his annual leave accrued for more than two years, unless the worker wishes to carry t forward or receive a cash compensation for it, in accordance with the regulations in force at the establishment."
215,How is the annual leave salary calculated?,An employee is paid his basic wage plus any other allowances which he receives in the normal working month.
216,At which point should annual leave wages be paid?,"Before taking his annual leave, the employee shall be paid his full wage, plus the wage of his leave days."
217,Which official holidays are the employees entitled to?,Employees are entitled for paid leave on the public holidays. See the list of public holidays in the UAE. 
218,Can my employer postpone my leave after being approved?,"Employers have the right to decide a staff’s annual leave and also to ask employees to postpone a leave which is already approved and arranged. This is supposed to be done by agreement and compromise and on condition that the employee will not suffer any financial losses from this postponement, such as travel tickets and others."
219,Are there travelling restrictions during pregnancy or with an infant or a child?,"The UAE's airlines have special rules for pregnant travellers, or those with infants or children. Read the details on the page pregnant women, children and infants. "
220,"Does the UAE Government provide any special services for its citizens who live abroad or who have gone abroad for tourism, education or treatment?","Ministry of Foreign Affairs and International Cooperation provides the Twajudi service for UAE nationals living, studying or visiting abroad."
221,Does the UAE government provide any travel advice for UAE citizens?,"For the safety of the UAE citizens and residents, the website of the Ministry of Foreign Affairs and International Cooperation provides alerts and warning on trouble areas around the world."
222,"To which destinations the UAE citizens are exempt from pre-arranged visas, or given visas on arrival?","Ministry of Foreign Affairs and International Cooperation  provides information on whether UAE citizens need visa prior to their travel, or are exempt from visa, or can get it on arrival."
223,Where can expatriate residents apply for a passport issuance or renewal?,Expatriate residents can apply through their embassies and consulates in the UAE.
224,Where can UAE citizens apply for a passport issuance or renewal?,UAE nationals can apply for passport through General Directorates of Residence and Foreigners Affairs/Citizenship Departments. They can also apply online through the Ministry of Interior's website.
225,How to apply for social welfare in the UAE?,UAE nationals can apply for social welfare through the website of Ministry of Community Development.
226,Who is entitled to obtaining social welfare?,"According to Federal Law No. 2 of 2001, the following categories of UAE nationals residing within the UAE are eligible to obtain monthly assistance:

widows
divorcees
determined ones (disabled or those with special needs) 
elderly
·orphans
children from unknown parents
medically unfit persons
married student
families of prisoners
financially unfit
abandoned women
UAE national women married to expatriate men who cannot earn a living for reasons beyond their control.

More categories may be added upon the Cabinet's approval. 
For more information, read about the social welfare programmes in the UAE."
227,Does the UAE government provide financial assistance to the needy?,"Yes, the federal government and the local governments of the UAE provide financial assistance to the low income nationals. Read more on social assistance programmes for nationals and the UAE efforts to eradicate poverty locally and globally."
228,What services are available for older people in the UAE?,"The UAE government refers to elderly as ‘Senior Emiratis’ in recognition of their experience, giving, dedication and sincerity to the UAE. Senior Emiratis are protected and empowered through services and facilities in the areas of social care, pensions, health, transportation, and more. Find out information about Senior Emiratis on this page. "
229,Does the UAE government plan consultations which involve people in social protection issues faced earlier?,"You can find information about upcoming consultations which involve people in social protection issues in our consultation page, under planned consultations. "
230,Where can I find information of current consultations and results of closed consultations held to take people’s feedback about social protection issues?,"You can find information of current consultations and results of closed consultations held to take people’s feedback about social protection issues in our consultation page, under current and closed consultations."
231,Is there an evidence that people’s voices were included in the decision-making of the past consultations held by UAE government tackling social protection issues?,"Yes, you can find results of closed consultations held to take people’s feedback about social protection issues in our consultation page. Look for the outcome of closed consultations. "
232,Does the UAE provide equal wage for men and women?,"Yes, the UAE provides equal wage for men and women.  The UAE Federal Decree Law no. 33 of 2021 Regarding the Regulation of Employment Relationship provides that the female worker shall be granted a wage equal to that as the man is earning if she were performing the same work. In 2018, the UAE Cabinet approved a law on equal wages and salaries for women and men. Read more Gender equality in the workplace."
233,What are the services and facilities that are available for women in the UAE?,"The Constitution of the UAE guarantees equal rights for both men and women. Under the Constitution, women enjoy the same legal status, claim to titles, access to education, the right to practice professions, and the right to inherit property as men. Women are also guaranteed the same access to employment, political participation, health and family welfare facilities. Read more how women are empowered in the UAE."
234,Are there policies and legislations that promote gender equality in the UAE?,"The UAE has set special laws and policies promote gender equality, to protect women and in the society and raise their participation and representation in all areas, locally, regionally and internationally. Read more on women’s empowerment in the UAE."
235,Does the UAE have applicable laws which fight various types of discrimination?,"The UAE has the 'Anti-discrimination/Anti-hatred law' which fights any form of discrimination on the basis of religion, caste, creed, doctrine, race, colour or ethnic origin. The law No. 02 of 2015, criminalises any acts that stoke religious hatred and/or which insult religion through any form of expression, be it speech or the written word, books, pamphlets or via online media.. Read how the UAE promotes a culture of tolerance and co-existence.  Further the UAE, guarantees the rights of people of determination (persons of disability) and prohibits to be discriminated against at work place. UAE laws also ensure equal pay for men and women in workplace."
236,Can I report discrimination online?,"By law, discrimination is a crime. You can report discrimination through many online channels offered by UAE government."
237,Where can I find information on government spending on social protection?,You can find government expenditure on social protection on the page about government budget and expenditure.
238,Where can I find information on long-term care for older persons?,You will find information about long-term care such as registering the elderly/senior Emiratis in a retirement housing/elderly care facility or home care programme on the sections relating to health and rehabilitation and retirement.
239,Where can I find information on online safety of children?,Read the pages about child digital safety and digital security
240,Where can I find a directory of online services related to social protection in the UAE?,"On this portal, you can find online directories of social protection eServices provided by the respective authorities in the UAE"
241,"Besides, Government.ae, where else can I find information about social protection policies and programmes in the UAE?","Besides, Government.ae page on social affairs and housing, you can find information on social protection in the website of Ministry of Community development, the Federal Authority for Government Human Resources, the General Pension and Social Security Authority and  Sheikh Zayed Housing Programme."
242,What is the criteria of getting social welfare in the UAE?,"The Ministry of Community Development oversees the UAE's social welfare system at the federal level in conjunction with other local authorities at the local level. This includes the Abu Dhabi Social Support Programme in Abu Dhabi, the social benefits provided by the Community Development Authority in Dubai and the social assistance system for low income Emiratis in Sharjah offered by Social Services Department. Find more information about social assistance programmes in the UAE and how to get help."
243,Where can I subscribe  to receive alerts  and updates on social protection services of the UAE government?,"You can receive updates and alerts on information and services related to social welfare programmes, pensions, and labour affairs through multiple channels offered by UAE government entities."
244,Can I access  social protection services through mobile apps or SMS?,"Yes, you can. Find out various apps through which you can access social protection services related to pensions, welfare and others through UAE Government Apps."
245,What is the amount of dowry set for Muslim marriages in the UAE?,"For citizens, the amount of dowry is limited to AED 50,000; AED 20,000 is placed in advance, and 30,000 is delayed to the nearest destiny (either divorce or death of the groom).  
For Muslim expatriate residents, the dowry is not limited."
246,"Is pre-marital medical certificate a requirement for concluding marriages in the UAE, even for non-Muslims?","Yes, a pre-marital medical certificate is needed for all those who wish to get married in the UAE. No marriage in the UAE can be performed without submitting a pre-marital medical certificate that shows both parties to be free of genetically inherited blood diseases and transferable diseases.
Marital screening test must be done through one of the medical centres of the:

Ministry of Health and Prevention
Health Authority - Abu Dhabi
Dubai Health Authority."
247,Where can I report violence and abuse of women and children?,"You can report violence and abuse of women and children through the following channels:

contact Ministry of Interior’s toll-free hotline on 116111
call Dubai Foundation for Women and Children on 800111
in Sharjah, contact on toll-free helpline number 800 700.

For more information, read how children are protected and empowered in the UAE."
248,Can I check my application for Emirates ID online?,"Yes, the Federal Authority for Identity, Citizenship, Customs & Port Security (ICP) provides an online tracking facility to check your application. You will be given an account number when you register. You can track the progress of your Emirates ID card by typing the account number into the EIDA’s website (application status). "
249,Is the emirates ID digital/smart enough to be used for government or financial transaction?, The Emirates ID card contains personal data of its holder. This data can be read by a machines built for this purpose and authenticate the user’s credentials. You can use it for online and digital transactions. Read more.
250,What are the requirements to apply for  residency or citizenship in the UAE?,"UAE nationality is acquired by virtue of law, citizenship or naturalization as per the provisions set out in the Federal Law No. 17 of 1972 on Nationality and Passports, amended by Federal Law No. 10 of 1975 and Decree Law No. 16 of 2017. Find out more information on acquiring UAE citizenship and how to apply. On the other hand, you can reside in the UAE if you are:
• employed by a company in the UAE 
• investing  in a business in the UAE 
• have property in the UAE 
• a dependent sponsored by someone who is employed in the UAE, an investor/business owner in the UAE, a property owner in the UAE. Dependents include children, parents, maids on close relatives.
• university students sponsored by their universities in the UAE 
• retired residents – in this case, special conditions apply.

Find more information on UAE residence visas. "
251,Can I apply online for visa?,"You can apply for entry permits or visas through the website of Federal Authority for Identity and Citizenship (ICA) or the General Directorate of Residency and Foreigners Affairs (GDRFA) which works under the ministry. While ICA offers only online channels, GDRFA offers both online and offline channels. You will find information about all channels on the page ‘Where to apply for entry permits or visas’."
252,Do I need to carry my Emirates ID card all the time?,"Yes, you are required to carry the Emirates ID card all the time."
253,How can I fix information error in my identity card?,"You can visit one of the services centres of Federal Authority for Identity, Citizenship, Customs and Port Security (ICP) and submit the relevant official documents that confirm the correct data and apply for a replacement card."
254,What should I do if I lose my identity card?,You should report the loss immediately and apply for a replacement card through one of the Authority’s service centres.
255,"Where can I find Federal Authority for Identity, Citizenship, Customs and Port Security (ICP) customer happiness centres?",You can find the customer happiness centres online.
256,Who must have an Emirates ID?,Everyone in the UAE must have an Emirates ID card; this includes children and new-born babies.
257,Where can I use my Emirates ID?,"The card is used for accessing government services, utility bill payment, travelling to other GCC countries and passing through the UAE eGates at the UAE’s airports. It is also used for accessing medical services."
258,Can I over-stay my visa validity period?,"If a tourist or a visitor overstays, he will be fined with a certain fee to be paid at the immigration offices or at the airport when exiting."
259,I am an expatriate resident; can I sponsor my parents?,An expatriate resident can sponsor his parents for a year's stay by paying a deposit as a guarantee for each parent. Read more 
260,Up to what age an expatriate resident can sponsor his children?,"An expatriate resident can sponsor unmarried daughters up to any age and sons up to 18 years. If a son is studying in the UAE after the age of 18, the father can continue to sponsor him if evidence of their studies in the UAE is supplied."
261,Does the UAE have any travel restrictions in terms of what may be brought into the country or carried through the ports?,"Certain items may not be brought into the UAE and some restrictions apply on other items. Read details about the banned, restricted items and customs duty on this portal."
262,Do I need a visa to visit the UAE?,"GCC citizens do not need visa to visit the UAE. Nationals of some countries require pre-arranged visa, while others can get it on arrival. Check if you need a visa to the UAE."
263,How can I enjoy my time in the UAE?,"The UAE is popular for shopping, dining, experiencing the culture, trying adventure and much more. You can explore the UAE by emirate. Read what to do in the UAE."
264,How can visitors to the UAE get mobile and internet services?,There are special mobile and internet packages for visitors. Read about it on the page about mobile and internet services.
265,Does the UAE government provide a housing aid to its citizens?,"Yes, the UAE government has numerous programmes which offer housing aid to its citizens. The aid can take the form of constructing a governmental housing, a financial grant or interest-free housing loan. At the federal level, Sheikh Zayed Housing Programme provides decent housing for national families of different economic and social levels, taking into account the priority for special cases, such as, the orphans, widows, Senior Emiratis (the elderly) and people of determination (special needs). Find out more on housing aid programmes  across the UAE."
266,How can I apply for housing aid to Sheikh Zayed Housing Programme?,"You can apply through Emirates Post or through the official website of Sheikh Zayed Housing Programme
(Source: Sheikh Zayed Housing Programme)."
267,How to apply for Abu Dhabi Housing Authority’s services?,"You can apply for ADHA's services through:  

the ADHA Mobile Application (for iOS and Android)
    
ADHA's website 
Abu Dhabi Municipalities' happiness centres 
ADHA's customer happiness centres (in Abu Dhabi or Al Ain).

(Source: Abu Dhabi Housing Authority)"
268,What are the types of aids provided by Sheikh Zayed Housing Programme?,"Sheikh Zayed Housing Programme provides aids in the following ways:


construction of houses
financial grants 
interest-free housing loans
    (Source: Sheikh Zayed Housing Programme)."
269,Where can I find affordable housing for living?,"Expatriate residents in the UAE can search for available accommodation using local newspapers and magazines, or through registered real estate brokers (agents) or through private property websites. Rent rates depends on the location and size of the property to be rented. Find more information on leasing an accommodation across the UAE."
270,How is Ramadan observed in the UAE?,"The Ramadan traditions in the UAE start mid-Shaaban (the month preceding Ramadan). This day is known as Hagg Al-Layla. Emirati children dress in their best clothes and go to houses in the neighbouring areas reciting songs and poems. The neighbours welcome them with sweets and nuts, which is collected by children in traditional cloth bags."
271,What are the public holidays in the UAE?,View the UAE's public holidays.
272,What is Midfa Al Iftar (Iftar Cannon)?,"The firing of Midfa Al Iftar (Iftar Cannon) signals the moment when Muslims can break their fast. Firing the cannon is an integral part of the Islamic culture in the UAE and takes place in many regions across the country. It can be heard around 8-10 km away. This tradition is known to people since the rule of the UAE's founding father, the late Sheikh Zayed."
273,What is Ramadan?,Ramadan is the ninth month of the Hijri calendar. It is regarded as the holiest month of the year as it was the month in which the Holy Quran was revealed to Prophet Mohammad (PBUH).
274,When does Ramadan begin?,"Ramadan arrives as per the Islamic lunar calendar, which has 354 days. Hence, it arrives 11 days earlier in every subsequent year of the Gregorian calendar."
275,When do Muslims start and break their fast?,Fasting starts from the time of Fajr (dawn) prayer and may be broken at sunset upon Maghrib (sunset) call for prayers (Azaan).
276,Can I apply online for a driving licence or renewing it?,"Yes, you can. Find all eServices relating to driving licences on the Services A-Z page."
277,Can I apply online for registering a vehicle or renewing its registration?,"Yes, you can. Find all eServices relating to vehicles on the Services A-Z page."
278,Can I change the colour of my vehicle? What is the procedure for that?,"Yes, you may change the colour of your car. You need to submit: 

a filled application form 
vehicle registration card
an approved technical examination report in case changing the colour or engine number 
an official and stamped letter from the company (if owned by company) 
presence of person concerned or his legal representative 
NOC from the CID of Dubai Police.

 (Source: RTA-Dubai)"
279,Can I navigate UAE cities and destinations through my smart device?,"You can upload the Seniar app from iTunes and Google Play. The app provides motorists with easy-to-follow, accurate directions to their destinations, cutting down travel time and distance."
280,Does the Smart Drive app need Internet?,The Smart Drive app works without an internet connection to search and navigate. (Source: RTA-Dubai)
281,How much are the parking fees in Dubai?,The parking fees for roadside parking is 2 AED for half an hour and 4 AED for one hour. The tariff for parking lots is 3 AED for one hour. (Source: RTA-Dubai)
282,I am searching for statistics about deaths/injuries from road traffic accidents. Where can I find them?,There is a complete statistics on deaths and injuries from road traffic accidents on this portal. Read more. 
283,Is official permission needed for carpooling with the family members and friends?,"No, because this does not amount to illegal taxi practice. (Source: RTA-Dubai)"
284,What are the categories of parking fines in Dubai?,"Category 1: Non-payment of fees or failure to buy the ticket (150 AED) 
Category 2: Parking for longer than the period specified in the ticket (100 AED)
Category 3: Exceeding the maximum parking duration by parking for more than three hours (some slots do not allow parking for more than two hours) (100 AED) 
Category 4: Parking in the wrong way or illegal parking (200 AED)
    

(Source: RTA-Dubai)"
285,What are the timings for paid parking in Dubai?,The timings for paid parking in Dubai starts at 8am and ends at 10pm on all days except Fridays and public holidays. (Source: RTA-Dubai)
286,What are the types of Hafilat card?,"Hafilat cards are of the following types:  

Contactless Smart Ticket CST (temporary use): it is free of charge and is valid 30 days from the date of purchase 
Contactless Smart Card Anonymous CSC (permanent use): the cost is 10 AED and is valid for 5 years
Contactless Smart Card Personalised CSC (permanent use): the cost is 10 AED and is valid for 5 years
Contactless Smart Card Senior Citizen CSC: the cost is 5 AED and is valid for 5 years 
Contactless Smart Card Special Needs/Disabled CSC: the cost is 5 AED and is valid for 5 years 
Contactless Smart Card Students: the cost (of the card only) is 5 AED and is valid for 5 years.

(Source: Department of Transport in Abu Dhabi)"
287,What are the types of parking in Abu Dhabi?,"In the city of Abu Dhabi, parking areas are classified into two types: premium and standard. (Source: Department of Transport in Abu Dhabi)"
288,What is Mawaqif?,Mawaqif is the name of the parking management programme that addresses the parking needs in the city of Abu Dhabi. (Source: Department of Transport in Abu Dhabi)
289,Where can I find information about road safety?,"Road safety is one of the MOI’s priorities. This portal provides useful information about road safety initiatives, regulations and laws. More"
290,Where can I find information and services relating to GIS or geospatial data?,"You can find information and services relating to GIS or geospatial data on the following links:

Geospatial data
eServices for Infrastructure and Vision 2021
Services A-Z
Bayanat."
