,Questions,Answers
123,"How long does it take to set up an API?"",","The integration process takes anywhere between two to eight weeks depending on the responsiveness of your technical team."""
124,"What is eForm?"",","\n\tAvailable via our online platform, the eForm Dubai facilitates electronic submission of NENs by event organisers.\n\n\n\n\tPlease note that hard copy (paper) NENs are obsolete and no longer accepted by DET.\n"""
125,"How long does it take to activate my eForm account?"",","\n\tAccounts will be activated within one business day once the email address is validated. If you do not receive a validation email, please contact us.\n"""
126,"Can my company have multiple users on the eForm system?"",","An events company can have multiple users on the system who can complete and submit NENs on its behalf. For each user the company must provide an official NOC with the applicant's full name and Emirates ID number. Each user must also register independently using a unique email address and attach their Emirates ID copy and NOC."""
127,"What type of amendments can I make for my event on eTix?"",","You can add or change dates, participants and venue."""
128,"What is the walk-in ticketing system?"",","The system replaces the previous manual process of stamping entry tickets for entertainment venues. The new system offers faster ticketing authorisation and allows event managers and venues to issue tickets immediately."""
129,"How does the walk-in ticketing system work?"",","After successfully registering a 'super user' account, you can create additional users, set ticket categories and prices, and format the ticket design.The venue will need to have a working ticket printer (a list of supported tickets and printers is provided). DET fees are automatically calculated with an electronic invoice generated on a monthly basis and payable online."""
130,"How do I start printing walk-in tickets?"",","Purchase a ticket printer and blank tickets from an approved supplier and finalise your ticket design.\nThen, set up an admin account using the online New Registration form on the walk-in ticketing platform.\nTo activate your account, go to the DET offices with your approved email notification or application reference number, required authorisation documents, PRO card or a formal authorisation letter naming you as the company system administrator, and Emirates ID copy."""
131,"Can I use my own branded tickets for walk-in?"",","Yes, as long as you follow the guidelines provided in the template design. Your design should be submitted online for final DET approval."""
132,"Can you sell venue walk-in tickets online?"",","The system does not support online ticket sales as this is classed as an entry fee. Tickets may be sold online via approved ticket sales partners and exchanged at the door for a venue walk-in ticket."""
133,"Is it possible to reprint/return/refund walk-in tickets?"",","No. Each printed ticket will be subject to the standard DET 10% fee calculation."""
134,"What is a holiday home?"",","A holiday home is any furnished mainland or freezone-located residence (studio to multiple bedrooms) that is rented out to guests based on the activity terms and criteria."""
135,"Are hotel or hotel apartment units included as holiday homes?"",","No. Hotel and hotel apartments have a different classification. Discover the hotel classification service here"""
136,"How long will it take to approve my holiday home registration?"",","Once registration is reviewed and approved, individual owners will be sent a payment link within one business day. The registration will become active\nonce payment is confirmed. Professional operators accounts will be active within one business day of registration."""
137,"Can I register a holiday homes under a real estate or inbound tourism operator licence?"",","No. Your trade licence must have Vacation Homes Rental as the designated activity."""
138,"What is the holiday home registration validity period?"",","There is no expiry date, however you will need to annually update the trade licence and any other relevant information. There is no renewal\nfee applicable."""
139,"As a tenant, do I need Ejari documentation for my tenancy contact?"",","Yes, you require a tenancy contract approved by Ejari."""
140,"I recently changed my DEWA account and I don’t have a recent bill."",","You can either submit a statement of account from DEWA or log in to your DEWA account and take a screenshot of the account profile. The screenshot must show the account owner and DEWA account number."""
141,"What should I provide if I do not have a title deed?"",","The Sales and Purchase Agreement (SPA) and either a payment completion certificate or a letter (Addressed: To Whom It May Concern) from the developer or building owner(s) clarifying the below:\n1. That there is no title deed for this unit\n2. If the unit is still on a payment plan, mention that the unit is on a payment plan and there is no outstanding dues\n3. Mention that the unit is residential"""
142,"Are all villas eligible for holiday home permits?"",","No. Residential villas must be in a gated compound comprising a minimum of four villas. Commercial villas located on main roads may also be considered by DET to operate as holiday homes."""
143,"What is the validity period for a holiday homes permit"",","A holiday homes permit is issued for a minimum of three months and maximum of 12 months. Permit fees are irrespective of validity period."""
144,"My permit has expired and been removed from the system. How can I retrieve it?"",","If your permit has expired then it your unit has been permanently deleted in the system. Your next step is to reapply as a new unit."""
145,"When can I apply to renew my unit permit?"",","The renewal icon will appear 30 calendar days prior to expiration of your current permit. Failure to renew will result in your unit being removed from the system and you will have to reapply as a new unit."""
146,"Why do I need to cancel my Holiday Homes permit?"",","If your unit is listed as a holiday home but no longer operating as such then the Holiday Homes permit regulations and obligations are no longer applicable and your permit should be cancelled."""
147,"Are there any other admin requirements when cancelling my permit?"",","Any and all outstanding Tourism Dirham fees must be settled."""
148,"Will the issue and expiry dates of my existing permit be subject to change?"",","No. An updated permit only reflects changes to classification type or number of rooms. The original permit issue and expiry dates remain the same."""
149,"Will additional fees be applied if I am adding rooms?"",","Yes. A standard administration fee is applicable to all online updates. Additional fees will also be incurred, based on the number of rooms being added, plus any outstanding Tourism Dirham charges."""
150,"Can I amend the name of my building?"",","No. Building details cannot be updated here. Please contact the eServices support team for further assistance."""
151,"How long will it take to update my permit?"",","Updates are applied as soon as payment is processed. The new permit can then be printed immediately."""
152,"What documents are required to add a new user?"",","Up-to-date commercial licence copy for professional operators and passport or Emirates ID copy for professional operator's designated manager or admin personnel."""
153,"What is the validity period for a new user"",","A user is valid until deactivated in the system."""
154,"How long before a new user is activated?"",","Within 24 hours."""
155,"How many managers can be listed as holiday homes operators?"",","You need at least one manager but can have several. However, they must be specified as such on your trade licence."""
156,"Is it possible to amend the unit owner on my permit?"",","No. The only amendments that can be made to a permit are to the classification type or number of rooms in the unit."""
157,"I have a new manager on the trade licence how can I update the system?"",","Add a new manager by following the steps outlined above. Once they are approved and activated as a user you must deactivate the previous manager."""
158,"What is the difference between an admin and manager user?"",","A manager has full system access and can add, remove and update properties. An admin user can only check in and check out guests."""
159,"I have a technical issue."",","Contact our expert eServices support team who will be happy to help resolve any issues."""
160,"How long does the classification process take?"",","You will be contacted and visited by the DET inspection team within one business day of submitting your application after which classification will be confirmed or rejected."""
161,"How long does the renewal process take?"",","The DET inspection team will visit your property within 24 hours of application submission (if required). Your renewed classification certificate will be released within the same timeframe if the property passes the inspection."""
162,"If I do not meet the hotel classification requirements then can I request a grace period?"",","In certain circumstances, a grace period can be granted. This will be assessed on a case-by-case basis."""
163,"What is the hotel classification self-assessment?"",","The self-assessment does not need to be submitted as supporting\ndocumentation. It is a useful checklist that the property should use to evaluate suitability against DET classification criteria and minimum requirements."""
164,"When can I start hotel operations after classification?"",","After obtaining the classification rating, you must apply for a hotel Tourism Licence from DET.\nThe next step is to register with DET for the Tourism Dirham programme after which you can file a 'receive guests' application to commence operations through the classifications portal."""
165,"When do I need to renew my classification certificate?"",","Three months prior to the expiry date."""
166,"Where can I find my renewed classification certificate?"",","Your printable certificate will be available online within your classification portal profile."""
167,"Why has my hotel classification been rejected post inspection?"",","The property has not met the requirements of the requested classification type as detailed in the post-inspection report. The report identifies relevant gaps to be addressed prior to re-inspection."""
168,"How long before I get my amended classification?"",","You will be visited by the DET inspection team within 24 hours of submitting your request after which the amended classification will be confirmed."""
169,"How long before I get my NOC?"",","You will be contacted and visited by the DET inspection team within one business day of submitting your application after which classification will be confirmed or rejected."""
170,"How long is the approval letter/NOC valid for?"",","The NOC is valid for six months, during which time it should be used to obtain the required building permits. If not used within this time, the letter will need to be re-issued."""
171,"When should I apply for the construction NOC?"",","This is the initial step when constructing a new property or converting an existing building into a hotel and changing land use type. NOC permission must be granted before work can commence."""
172,"Is there any available advisory support?"",","DET offers an advisory service that assists properties in meeting the criteria for requested classifications. It also identifies gaps and areas of improvement."""
173,"If I apply for a Tourism Licence, will this initiate the classification process?"",","No. For a hotel establishment to be classified it must first register through the classifications portal. Once registered, the Tourism Licence number or Licence Application Number must be provided as the next step in applying for property classification."""
174,"Whose passport and Emirates ID should be entered in the system?"",","We require the passport and Emirates ID of the selected administrator, supported by a Letter of Authority from the hotel owner or investor, giving them permission to access and use the Classifications portal."""
175,"What if I have a multiple properties on the same transaction ID?"",","Each establishment/property needs to be registered individually and have a separate profile created, even if occupying the same plot. Registration is required per property, not per owner."""
176,"What is a Letter of Authority?"",","The Letter of Authority gives the selected administrator permission to access and use the classifications portal on behalf of an owner."""
177,"What is my Transaction ID?"",","Your Transaction ID is is the initial approval number for your project. Approvals are a prerequisite to project commencement and required for Classifications portal registration."""
178,"How does the hotel advisory service work?"",","You can either schedule an onsite meeting or meet the team at our offices. Please request an appointment through the Classification portal."""
179,"What are the fees to get hotel advisory services?"",","There is a fee of AED1,000 per hour exclusive of government innovation and knowledge fees."""
180,"Why should I use the hotel advisory service?"",","The DET advisory consultancy was established to support our hospitality partners and owners and to ensure that your property specifications meet the necessary requirements throughout the build process and prior to opening."""
181,"Will I receive a post-meeting advisory report?"",","Yes. Following our meeting an advisory report will be uploaded to to your profile on the classification portal."""
182,"I am making changes to my room inventory. What documents do I need?"",","You will need an official signed and stamped company letter on official letterhead detailing the changes you wish to make."""
183,"If I want to make rooms inoperable will it change my classification?"",","No. Closing rooms will not affect your property classification."""
184,"If I permanently remove rooms from the inventory, how will this affect the renewal fees?"",","Annual renewal is based on the total number of units so the removal of rooms will be reflected in your renewal fees."""
185,"Can I make new rooms available for guest bookings once my inventory change request has been approved?"",","No. For all newly added rooms you need to apply for a 'Receive New Guests' NOC and await the successful conclusion of a further inspection before they can be open for use."""
186,"Can I receive hotel guest bookings before I have received the no objection certificate?"",","You cannot operate without receiving an official no objection certificate from DET, so you will not be able to accept guest bookings."""
187,"Why has my Receive Guests NOC been rejected post classification inspection?"",","The property has not met the requirements to receive guests. The DET inspection team will provide a post-inspection report identifying relevant gaps to be addressed prior to re-inspection."""
188,"What happens after I register with Medyaf?"",","Once registered, you may book you a half hour Medyaf counselling session where we will help you understand in details all our services like career counselling, skills development training, volunteering, internships, summer/winter break student camps and Emirati Tour Guiding, and how they will help you enter the Tourism industry."""
189,"Do you help students or graduates?"",","Both. Medyaf supports all students who are interested in working in pursuing a career in the tourism industry with summer and winter school-break training programmes, industry internships, volunteering opportunities. Medyaf supports graduates through hiring opportunities both full time and part time with tourism industry partners."""
190,"How can I become an Emirati Tour Guide?"",","The free UAE National Tour Guide training programme is a nine-day course, please visit www.tourguidetraining.ae to register."""
191,"Can I run a sales promotion as part of a Dubai festival?"",","Yes, entities that plan to hold a promotion can submit their application together with all the required details, documents and fees by following the above steps to receive a permit to run a promotion."""
192,"What types of promotions can I run during a festival?"",","Promotion types allowed include price deals (for example, sales, discounts, rebates, clearance, etc.), special offers (for example, bulk bundles or gift with purchase, etc.) raffles, contests, pop-up kiosks, booths and stands."""
193,"What is the validity period for a promotion certificate of participation?"",","Once you pay the Retail Calendar Participation Fee for the calendar year your permit is valid for 12 months and covers specified seasonal retail windows such as Dubai Shopping Festival, Dubai Summer\nSurprises, Dubai Food Festival, etc. We also offer off-season calendar participation with a different set of fees and guidelines, where retail partners can also run promotions."""
194,"Can I apply for multiple promotion certificates or multiple festivals at the same time?"",","Yes. You may select the festivals you would like to run promotions and submit the promotion details for each festival respectively."""
195,"What channels are there to pay promotion certificate fees?"",","The payment of the calendar promotion permit fee must be made before the submission of the promotion details. Fees can be either paid online through internet banking, credit card or at an Al Ansari Exchange branch via cash or cheque."""
196,"Can I make amendments to an issued promotion certificate?"",","You can make amendments to your promotion application after you receive the permit by sending a request to retailcalendar@dubaitourism.ae"""
197,"I wish to participate, but won’t be able to attend the full event duration. Can I still apply?"",","Yes. There are some limited spaces that will cater to shorter participation. Please contact us with your requirements."""
198,"Do you offer support for the design and branding of my event structure?"",","Once your participation has been approved, support services are available for a fee. Contact your curation team with your request."""
199,"Can I share my event space with other vendors?"",","Food and beverage vendors cannot share their event space.\nRetail vendors may be able to share event space. Contact your curation team with your request."""
200,"I do not have enough staff to help with my event. Do you provide any staff to support with my event?"",","Staffing assistance is not provided. This is the responsibility of the participant."""
201,"Can I run my own signature workshop or activation?"",","Yes. We actively encourage this. Please contact us with your ideas, once your participation has been approved."""
202,"What health and safety requirements do I need to meet to run my event?"",","For Modesh World, any funfair operators who wish to participate are required to have all necessary health and safety certification in place. Additionally, all staff must be fully certified and qualified."""
203,"How far in advance can apply to participate in a DET-run event?"",","We encourage all vendors to apply a minimum of two months prior to the event."""
204,"Where is the safari driver training course held?"",","Training is held at Dubai College of Tourism, at DET Headquarters:\nOne central building 2, floor 4.\nIf an alternative venue is needed, then attendees will be notified\nprior to the course commencement."""
205,"What languages is the safari driver training conducted in?"",","The course is English because the ability to effectively communicate with international visitors is very important to your role.\nOne of the requirements when applying for the course is proof of English language proficiency."""
206,"Where can I find the latest desert safari materials to help me study for the exam?"",","The tour guide platform contains all the latest materials. You can access this after paying the course fee."""
207,"How can I improve my chances of passing the safari driver training?"",","Being a safari driver needs vehicle and driving skills. Even more importantly, it requires the ability to communicate knowledgeably and confidently with your guests. So, practice your social skills and language competency. You can find helpful materials to help you study for the exam on the safari training platform."""
208,"What if I fail the retake exam?"",","If you do not pass this assessment you are allowed a retake. The retake fee is AED120 (AED100 + AED10  knowledge fee + AED10 innovation fee)."""
209,"How long is the safari driver training valid for?"",","The safari driver training is valid for one year, after which you will need to renew it. You can apply for a Safari Driver's License with RTA throughout the validity of your training certificate."""
210,"Where can I get a copy of my safari driver training certificate?"",","You can print your certificate from the tour guide desert safari system."""
211,"Can I start driving safari vehicles as soon as I pass safari driver training?"",","No. You must first receive your Safari Driver's License. This license is issued by the Dubai Roads & Transport Authority (RTA), not DCT who conducts your training.\nAfter you pass your safari driver training, DCT will update you traffic file directly on RTA. You can then apply for Safari Drivers License with RTA directly before driving any safari vehicles."""
212,"Can I use a safari driver license issued in another emirate?"",","Yes, you can. Terms and conditions and fees apply"""
213,"If I get my Safari Driver License, do I automatically get a Tour Guide License too?"",","No. The tour guide qualification is separate, you can apply for the training on the tour guide training portal.\nPassing the safari guide driver's training is a mandatory requirement before you are able to apply for a Safari Driving License from the Roads and Transport Authority (RTA)."""
214,"How much dose it cost to renew my safari driver training certificate?"",","The renewal course and exam cost AED520 including fees and tax."""
215,"Can I claim for safari driver course fee refund or get the credit transferred to another course?"",","Course fee payment is not transferable or refundable."""
216,"What documents are needed for a safari vehicle registration?"",","To apply for the safari vehicle registration, you must have the following:\n\n- A minimum of five registered drivers \n- A minimum of two drivers holding first aid certificate\n- A minimum of five vehicles owned by the company and with GPS devices installed\n- Comprehensive company insurance"""
217,"How long is a safari vehicle registration valid for?"",","The safari vehicle registration is valid for a year or until the expiry of the company's trade\nlicense, whichever comes first."""
218,"Can change the details of my safari vehicle registration?"",","You can only add or remove drivers and/or vehicles."""
219,"Will my safari vehicle registration be valid if my RTA vehicle registration expires?"",","The vehicle safari registration will not be valid if the vehicle RTA registration expires. You must re-register your vehicle with RTA and update the safari registration for it to be valid."""
220,"How can I renew my safari vehicle registration?"",","If your vehicle safari registration has expired you have to apply for a new one."""
221,"Can I make changes to my vehicle registration at any time?"",","Amends can be made up to 24 hours before a the registration is due to expire."""
222,"My safari vehicle registration will soon, can I still amend it and add more vehicles?"",","Yes, you can. But when your safari registration expires so will all registered vehicles, including the newly added vehicles.\nYou will need to make a new safari vehicle registration and add all vehicles again."""
223,"Can I hire freelancers with their vehicles and add them to my existing safari registration?"",","Yes, at any time you can add freelance drivers and vehicles to a valid safari registration."""
224,"What is iSupplier and what is used for?"",","iSupplier is a web based online vendor management system that allows suppliers register and receive enquiries such as RFQs, RFIs, RFTs & RFPs.\nThe portal dashboard allows direct communication between suppliers, DET Procurement and business units, while maintaining the full communication history within the portal.\nThe portal e-Sourcing & e-Invoice Management Systems allow to release and maintain records of all purchase orders and invoices by suppliers. Suppliers can submit and track their invoices online and be paid through an online transaction.\nTo keep suppliers updated on the progress of their services all portal features are supported by integrated email push notifications."""
225,"How do I receive enquiries?"",","Suppliers receive notifications via email for new enquiries such as RFQs, RFIs, RFTs and RFPs. A supplier can access the detailed information online via the portal."""
226,"How do I reset my username or password?"",","Suppliers can reset their password from the iSupplier login screen, or by contacting the procurement team directly. Contact us here. """
227,"How can I update my company name on the portal?"",","Suppliers must submit an official letter on headed paper, outlining the new name of the company. DET will make the changes on the platform directly."""
228,"Can my company have multiple users under one account"",","Yes. Each company account has a main primary user account. The primary user account can then create additional user accounts."""
229,"Who is eligible to register on the iSupplier portal?"",","All suppliers holding a valid commercial document or license can create an account on iSupplier."""
230,"Can companies from other emirates or other countries register on iSupplier?"",","Yes, any company holding a valid commercial license can register."""
231,"What are the documents needed to register as a supplier?"",","Suppliers must submit the following documents as attachments when completing the registration process:\nTrade/Commercial License document\nCertificate of Incorporation\nCompany Stamp Sample on blank background\nBank Details in a separate Letter"""
232,"What if I am an overseas company and I do not have the required information and cannot submit Passport and copies of personal IDs"",","If you cannot provide the required documents or information on behalf of your company or individual users, you must submit the company letter stating authorised signatory Name and Signature Sample."""
233,"What is the bank letter and what is the information required on it"",","A bank letter outlines the information of the beneficiary account of the company being registered. It should contain the following information; Bank Name, Beneficiary Name, Account Number, IBAN Number, Swift Code and Address."""
234,"Can I register in person or by mail?"",","No, the registration process must be done online. If you are experiencing problems or need clarification, please contact us and we’ll be glad to help."""
235,"Does an iSupplier account expire?"",","Yes, an account will be deactivated if the provided trade or commercial license expires. All suppliers will receive an email notification 30 days prior to the expiry of their registered documents. Suppliers should update the documents submitted on the portal before they expire expiration to avoid their account deactivated."""
236,"What happens if I do not renew my documents and my account is deactivated? "",","The account will be deactivated and will not be able to participate in new RFPs & RFQs. You will need to contact us and provide all documentation again in order to reactivate your account."""
237,"Is it possible to submit invoices in person?"",","No, all invoices must be submitted through portal."""
238,"When should I submit an invoice?"",","Once the service or work is delivered to the business unit, the client will request an invoice via the portal and the supplier will receive an email notification to submit their invoice via iSupplier."""
239,"What documents are required to submit an invoice?"",","To submit an invoice, suppliers are required to submit a digital copy of the invoice and a signed delivery note. If you cannot provide a delivery note, you can also submit attendance sheets, a service report, certificate of completion or an email acknowledgement from DET."""
240,"How do I follow up on invoice payments?"",","To check a payment status or follow up on a payment, please log in to the portal account and search the status via Invoice Catalog."""
241,"Why was my invoice rejected?"",","You can find details of an invoice including comments and reasons for rejection by selecting the invoice from the Invoice Catalog, and then clicking on invoice/payment summary details."""
242,"What payment methods are used by DET?"",","DET makes payments via online bank transfers and bank cheques."""
243,"How long does it take to complete the English tour guide course?"",","This depends on the individual, but the average length is 4-6 weeks."""
244,"How long is the Mandarin tour guide course?"",","The Mandarin course last 10 days."""
245,"How can I differentiate myself to pass the Tour Guide test?"",","By practicing your presentation skills, and gaining insight into Dubai’s attractions, architectural and cultural influences. There are also great opportunities for multi-lingual candidates. Particularly those who have fluency in Japanese, Korean, Brazilian, Portuguese or Russian as well as English or Mandarin."""
246,"What tour guiding modules will I need to study?"",","Applicants will study a variety of modules including: Dubai Way, Inclusive Service, Tour Guide Essentials, Advanced Tour Guiding Skills, The Expert Tour Guide and Dealing with Difficult Situations."""
247,"What languages are in demand for tour guides right now?"",","We welcome all candidates with language skills with a particularly requirement for those who can also speak Japanese, Korean, Portugese and Russian in addition to either English or Mandarin."""
248,"Can I pay for a tour guide course in instalments?"",","You cannot pay in installments, but the course is structured into different stages and you pay when you are ready to attend each stage."""
249,"What happens if my license expires?"",","You cannot guide without a valid tour guide license, even if you already applied to renew it. If you continue guiding after your license expires, you will face a fine. If you do not wish to use you license anymore, you must cancel it to avoid a fine."""
250,"How quickly do I have to pay a fine if my license expired?"",","If you continue guiding after your license has expired, you will face a fine. The fine is AED200 for the first two years after expiration, then it increases to AED400 for up to 4 years.\nFailure to pay the fine within the four years will result in the cancellation of your license.\nTo avoid a fine, you must cancel your license."""
251,"I lost my license, can I get a new one?"",","Obtain a certificate of loss item from Dubai police, upload the police report and copy of the lost license to your account on the website and we will verify and dispatch a new one to you."""
252,"What upcoming trade shows is DET participating in?"",","You can find a full calendar of events on our trade website."""
253,"Are services like catering and Wi-Fi included in the cost of participating?"",","Catering is provided on the stand. Wi-Fi is reviewed on a case-by-case basis."""
254,"Do you provide any marketing or promotional support if we join DTCM at events?"",","Marketing or promotional support is not provided."""
255,"How many participants are included in each application for a trade event?"",","The number of participants is different from one event to another. Our team will advise you once your registration is completed."""
256,"Do you provide any support in obtaining visas?"",","We provide registered exhibitors with a Letter of Invitation and – where applicable – a copy of their event badge."""
257,"What support do you provide if I have any special requests?"",","We are happy to assist with any questions or queries. Please contact us with details of your request and we will see how we can help."""
