,Answers
173,Vehicles registered under the company’s traffic file must be inspected yearly after the registration. The company can renew the ownership certificate of the vehicle 149 days before its expiry.
174,"If the vehicle is new and the customer delays the renewal of its ownership for more than 6 months from the date of the first renewal, the vehicle must undergo a technical inspection test even if it is new before proceeding with the registration."
175,"No, RTA does not accept these tests."
176,"The cancellation of a vehicle is crossing it out from the traffic system either by issuing an ownership certificate or a transfer certificate or an export certificate.
To cancel the vehicle, the customer must present the original Emirates ID + copy of ID."
177,The customer must check the source of the plate numbers in other emirates.
178,"No, the customer does not need an NOC from the bank."
179," Yes, if the residence visa or the Emirates ID is valid."
180,"Yes, the customer can renew the reservation 2 weeks in advance."
181,"In case of losing 1 plate, the customer can drive back to UAE and must present a police report.
In case of losing 2 plates, RTA forbids the customer from driving the vehicle back to UAE. The customer must present a police report.
 "
182,"No, when registering the vehicle, you can apply for having the Dubai Brand logo without having the plates."
183," Yes, you must follow the same process of replacing regular plates. The only difference is that the fee of every plate becomes 200 AED."
184,"No, there is only 1 design for the logo."
185,"No, there aren’t any yearly fees."
186,"In case of any of the above mentioned transactions, the Dubai Brand logo will be cancelled from the customer’s traffic file."
187,The discount on the 3-digit plate number which was launched by the end of 2015 ended on 28 July 2016.
188, No she cannot buy or allocate plate numbers unless she has a traffic file.
189,"Yes, the customer can purchase a distinguished number as long as he has a traffic file in Dubai."
190,"1 of the below conditions must be met to register a vehicle in Dubai:
The customer must have a tenancy agreement stamped by the official authorities and valid for at least 6 months
The customer must present a bill from the Dubai Electricity & Water Authority (DEWA) or a phone bill issued in Dubai
The customer must be an employee in Dubai or the company’s trade name where he works must be the same on the residence visa or the passport
The customer must be employed at a governmental or a semi-governmental agency
The customer must be an investor in Dubai.
Note: The service is also available on SDDI. The Emirates ID is not required for the service delivery and collection.
 "
191,It is the same as the open auction but is specialised for traders.
192,"No, the next auction requires another security fees and this is applicable for customers who settled the fees in cash, by cheque or by credit card."
193,"If the customer wants to pay by a manager cheque, it must be addressed to the Roads and Transport Authority (RTA) with the payment date on it."
194,"At the following centres:
Customer Happiness Centre – Deira
Customer Happiness Centre – Umm Ramool
Customer Happiness Centre – Al Barsha.
 "
195,The security fees cannot be settled by manager cheque. The customer is required to settle them in cash.
196, There is no maximum number.
197,"The minimum amount is 1,000 AED."
198,"The auction starts on Tuesday and ends on Friday. On Friday at 2 p.m., the auction closes on the first number and other numbers follow consecutively. The customer can check the remaining time on the counter of the numbers."
199,"Once the auction ends, the customer will receive an SMS."
200, Yes.
201,Yes.
202,"No, the manager cheque should be issued in the customer’s name and should have a payment date."
203,"In regular cases, the amount cannot exceed 50,000 AED. However, in case of a 3-digit plate, the maximum amount may reach 150,000 AED."
204,"The travel ticket is valid for 1 year; however, the customer must check with the Automobile Touring Club after using it more than 2 times."
205,"No, the customer does not have to get a tourism certificate. The vehicle must be roadworthy and residents must have a valid residence visa. If the vehicle is owned by another person, its owner and its driver must present an NOC at the Deira Licensing Department stating that the owner allows the other person to drive his vehicle. Both the owner and the driver must sign at the centre. As for residents, they have to check with the Automobile Touring Club."
206,"The required documents and the conditions are:
1. A form relevant to the request to fill in
2. Copy of the driver’s driving license
3. Legal ratification from the court or an NOC from the owner ratified by the Roads and Transport Authority (RTA)
4. If the customer does not have a travel ticket, he must visit the Automobile Touring Club to issue the ticket and the tourism certificate
5. If the vehicle is owned by a company, the customer must present an official letter in Arabic from the company and a copy of the trade license.
To issue a tourism license:
1. Copy of the passport
2. Copy of the ID
3. Copy of the driving license
4. NOC from the bank if the vehicle is under mortgage
5. 800 AED fees (including insurance fees and tourism certificate fees)
6. For residents: a travel ticket as an additional document.
 "
207, The Automobile Touring Club from Saturday to Thursday between 9 a.m. and 7 p.m.
208,The customer must contact the Saudi Consulate to ask about the required documents other than the tourism certificate.
209,"Citizens and GCC citizens must request a tourism license and a travel ticket. The Automobile Touring Club must specify the required fees. As for residents, they must request a tourism license and a travel ticket."
210,The customer cannot transfer the ownership of a vehicle if it is located abroad.
211,"The customer is required to settle all the traffic fines
The customer must have a clearance certificate from the Roads and Transport Authority (RTA)
Any person can represent the customer to apply for this service.
 "
212,The customer must check with the Traffic Department of the concerned country to know about the necessary measures.
213,"The customer is required to settle all the traffic fines.
The customer must have a clearance certificate from the Roads and Transport Authority (RTA)
Any person can represent the customer to apply for this service.
 "
214,"The customer must apply for a travel ticket at the Automobile Touring Club. After receiving the ticket, the customer receives the tourism certificate from the emirate where the vehicle is registered.
Note: If the customer decides to transport the vehicle through a shipping company, he must include the name of the company in the tourism certificate."
215,The customer must check with the service centre to get a possession certificate to register the vehicle in another emirate.
216,The customer must apply for a new export certificate.
217,The customer should communicate with the UAE embassy and submit a copy of the export certificate in order to receive a letter (from the embassy) allowing him to proceed with the service.
218,Yes.
219,"If the vehicle is owned by an individual, a chassis test must be undertaken and the fee is 35 AED. If the vehicle is owned by a company, a technical test must be undertaken and the fee is 130 AED."
220,"There aren’t any fines, but the customer cannot renew the certificate. The customer must have a new insurance to export the vehicle via Dubai Customs."
221,"No, the resident must have a valid visa."
222,"Yes, the personal presence is mandatory."
223, The new law requires the removal of the window tinting films before exporting the vehicle.
224,"If the company imports a vehicle, it may transfer its ownership. If an individual imports a vehicle, he can request a Vehicle Clearance Certificate to register it in any emirate."
225,A chassis test is required.
226,"There are 6 types of parking permits:
1. Permanent Parking Permit for People of Determination this permit does not require a medical report if the customer has a special needs card
2. Temporary Parking Permit for People of Determination
3. Permit for elderly people: this permit does not require a medical report
4. Permit for people with chronic diseases: this permit is specialized for people who periodically visit a hospital. The customer must wait 5 days to receive the approval of the medical committee on the presented medical report. The customer must also have a registered vehicle in Dubai, or a proof of residence or work
5. Special permits for schools, companies and taxis (people with disabilities): there is no need for a medical report
6. Special permit for tourists valid for 3 months: the customer must present the special needs card issued in the country of origin in Arabic and English or must present a medical report.
Note: Customers can apply to receive a lost or damaged permit for all types. All permits can be renewed except that of the tourists.
 "
227,"Yes, it becomes free of charge. This decision was taken by RTA to facilitate the traffic flow."
228,"In this case, the customer is required to pay the fees of two crossings. The first time at Al-Garhood and the other while crossing Al Safa and Al Barsha on Sheikh Zayed road within 1 hour. The customer will be charged once for each direction.
Notes:
The customer is required to settle the fees at the Safa gate and Al Barsha gate only once at 1 gate in case of passing within one hour in the same direction
The new Salik gate on Ittihad road and Al Mamzar gate are actually two gates on each side of the road and are very close to each other. The customer is required to settle the fees only once at 1 gate in case of passing within one hour in the same direction.
 "
229,There are no additional fines if the customer does not pay the fine on time.
230,"There are two types of Salik violations:
Unregistered Plate Violations (URP): This fine is registered when the customer passes through a Salik gate without registering a Salik tag on the vehicle and without applying for registering the plate within 10 working days after the toll trip.

First violation: 100 AED on the first day if the customer passes without a registered plate (maximum 1 violation per day)
Second violation: 200 AED the second day if the customer passes without a registered plate
Third violation: 400 AED the third day if the customer passes without a registered plate
400 AED for any violation after the third URP violation.
Insufficient Funds Violation (ISF): This fine is registered when the customer passes through a Salik gate with insufficient funds in the Salik account to cover the fee and without recharging the account 5 days after the trip.
 "
231,"The interchange stations are:
Damac Properties Metro station (R36) - Dubai Marina Tram station (5)
Jumeirah Lake Towers Metro station (R37) - Jumeirah Lake Towers Tram station (3).
 "
232,"For lost and found items, the customer must provide the details of the item as well as the details of the trip and a contact number when presenting a request to RTA’s call centre. In case of finding someone else belongings, the customer must give them to the customer service centre or to the driver."
233, Yes you can plan your trip by visiting Wojhati website or by downloading Wojhati application.
234,No.
235,Commercial plates are white with blue graphics.
236,"Practicing the activity without a permit: 5,000 AED
Practicing the activity with an expired permit: 3,000 AED
Practicing activities other than the licensed activity by RTA: 3,000 AED
Ceasing or stopping the practice of the activity for more than 6 months without notifying RTA: 1,000 AED
Holding auctions on vehicle plate numbers without RTA's permission: 5,000 AED
Failing to provide RTA with documents, data and necessary statistics related to the activity: 3,000 AED
Enabling a third party to use the permit without RTA's prior consent: 3,000 AED
Failing to act in accordance with the stipulations and requirements approved by RTA: 3,000 AED
Interrupting or disrupting the work of employees: 5,000 AED
Selling the same vehicle plate to more than 1 person: 10,000 AED
Publicising the activity within RTA's service centers without the authority's consent: 3,000 AED.
   "
237,"The visa has the sponsor name. However, Emirates ID doesn’t – so visa and passport are both needed."
238,"Yes, for any company cancelling in JAFZA, the company must get a clearance NOC from RTA."
239,The company must have the approval to amend the name of the trade license and must update the company's traffic file at the Customer Happiness Centre in Deira or through the website.
240,The NOC is a certificate presented by the contractor to the concerned service authorities to get their approval.
241,You must check the manual of renting a bus or Tajeer website or contact the call centre (8009090) or check RTA website.
242,The price varies according to the metro and tram station. It also varies by location.
243,The area of the outlet varies between 8 square metres and 645 square metres.
244,It is an investment agreement with RTA.
245,The period is up to 6 months maximum.
246,RTA works in accordance with the investment agreement.
247,There is a fixed fee that the customer is required to settle (as part of the investment agreement).
248,"If you own a private plate number, you do not require registration whereas if you own a non-private plate number you MUST register first to use the mParking service. Click here to Register. https://www.rta.ae/wps/portal/rta/ae/home/registration/registerinduser"
249,Registration is free. Follow the link “New User Registration” https://www.rta.ae/wps/portal/rta/ae/home/registration/registerinduser It won’t take you more than 2 minutes to fill in the necessary data. You can also register by calling our Call Centre on 800 9090. Registration is free for all customers.
250,"  All non-private plate number owners MUST register in order to use the mParking service because of the complexity of different plate types and codes. Once you register you can add as many vehicles as you wish for which you would like to use the mParking service. Also when you register you can avail the various benefits such as viewing monthly transactions, create nicknames for your different registered vehicles, etc."
251," Yes, you need to have a UAE (local) Mobile Number from Etisalat, Du or Virgin Mobile for using the mParking service"
252," If you are a Post-paid customer the mParking service charges will be billed on your monthly mobile invoice.
Whereas, if you are a Pre-paid customer the amount will be deducted from their balance.
Note: Pre-paid mobile customers please make sure you have enough credits to use the mParking service, else without it your virtual permit will not be issued."
253,"10 minutes before the ticket expires you will receive a Reminder message.
If you wish to extend for another hour simply SMS ‘Y’ and send it to 7275.
Note: You must send your extension message before your current parking expires."
254,A confirmation message will be sent to you after each SMS command you send. This confirmation should normally arrive no later than 30 seconds after you send the request for mParking virtual permit.
255,"The Parking Officer employed by RTA will check our online database through the help of a connected mobile device. If your car is logged in our system for a valid parking session at the time of the parking fine or retribution, RTA will cancel the issued parking fine. You can also raise a fine dispute by calling our Call Centre on 800 9090."
256,The customer needs to report to 8009090 and to provide the journey details to the employee. 
257,In case the item is found the customer will be contacted regarding the same.
258,"In case the item is found, the customer can collect it from Rashidiya bus station lost and found office."
259,The customer needs to hand it over to the driver.
260,The customer needs to report to any Police office at any metro/tram station and they will assist him.
261,The customer needs to hand it over to any Police officer at any metro/tram station.
262,"The lost item will be present in the same station the customer has started his journey from, for 24 Hours. After 24 hours, it will be transferred to Ghubaiba marine station for 15 working days and then it will be sent to RTA HQ."
263,The customer needs to report to 8009090 and to provide the journey details to the employee.
264,The customer will be contacted to inform him/her about the search result.
265,"The customer will be contacted from 8009090 and will be connected to the driver. In case the customer agreed so the driver will start the meter and will reach the customer, or else, the driver can hand it over to the nearest police station and the customer can collect it from the Police."
266,The customer needs to hand it over to the taxi driver.
267,"The customer needs to register through the RTA website for a company account, then the customer needs to fill the EPQ profile.
Steps to fill the EPQ system:
Click on (profile) to fill the company details and to upload the company trade license and the Sponsor ID.
Then click on (Structure and organization) to attach the company profile and organization chart then click save. 
Then click on (Financial information) to fill the details, attach 3 years audit report and the last 6 months bank statement
Click (Experience) to attach Experience and supporting documents (Contract Summery, LPO,etc..) then click Save
Click (personnel) to attach key staff CV and labor ministry statement then click save
Click HSE to fill the section compliance and to attach HSE compliance documents (contractors only)
Click on (Green procurement) to fill the section compliance and to attach green procurement compliance documents.
Click (other resources) to attach the Equipment details and fabrication facilities then click Next (this is for contractors only)
Click (additional data) more information will support your technical and financial information then click save"
